App Name,API Product,API Proxy
BDOPay2-Swiftpass-PROD,BDOPay2-Swiftpass-PROD,QrRequest-v2
BDOPay2-Swiftpass-PROD,BDOPay2-Swiftpass-PROD,QrTransactions-v2
BDOPay2-Swiftpass-PROD,BDOPay2-Swiftpass-PROD,QrTransactionsVoid-v2
BDOPay2-Swiftpass-PROD,BDOPay2-Swiftpass-PROD,Recipient-QR
BDOPay2-Swiftpass-PROD,BDOPay2-Swiftpass-PROD,StatusEnquiry-SP-V1
BDOPay2-Swiftpass-PROD,BDOPay2-Swiftpass-PROD,VoidAuthorization-SP-V1
BDOPay2-Swiftpass-PROD,BDOPay2-Swiftpass-PROD,VOIDTransaction-MS-V2
BDOPay2-Swiftpass-PROD,BDOPay2-Swiftpass-PROD,SwiftPass-Kvm-v1
BDOPay2-PROD,BDOPay-Rewards,Retail-OneLoyalty-UserOauth-V1
BDOPay2-PROD,BDOPay-Rewards,Retail-OneLoyalty-LinkOut-v1
BDOPay2-PROD,BDOPay-Rewards,Retail-OneLoyalty-RewardsCard-V1
BDOPay2-PROD,BDOPay-Rewards,Retail-OneLoyalty-BRC_NickName-V1
BDOPay2-PROD,BDOPay-Rewards,Retail-OneLoyalty-BRC_Details-V1
BDOPay2-PROD,BDOPay-Rewards,Retail-OneLoyalty-BRC_TransactionHistory-V1
BDOPay2-PROD,BDOPay2-BB-PROD,ApiBanking-DeviceRegistration-v1
BDOPay2-PROD,BDOPay2-BB-PROD,ApiBanking-Login-v1
BDOPay2-PROD,BDOPay2-BB-PROD,ApiBanking-CreditCardAccountsTokenized-v1
BDOPay2-PROD,BDOPay2-BB-PROD,CasaAccounts-v1
BDOPay2-PROD,BDOPay2-BB-PROD,ApiBanking-CreditCardAccountsTokenized-v2
BDOPay2-PROD,BDOPay2-BB-PROD,ApiBanking-Login2FA-v2
BDOPay2-PROD,BDOPay2-BB-PROD,ApiBanking-LoginFor2FA-v1
BDOPay2-PROD,BDOPay2-BB-PROD,ApiBanking-ForgotPassword-v1
BDOPay2-PROD,BDOPay2-BB-PROD,ApiBanking-CasaVerifications-v1
BDOPay2-PROD,BDOPay2-BB-PROD,ApiBanking-CreditCardVerifications-v1
BDOPay2-PROD,BDOPay2-BB-PROD,ApiBanking-Billers-v2
BDOPay2-PROD,BDOPay2-BB-PROD,ApiBanking-UserAttributes-v1
BDOPay2-PROD,BDOPay2-BB-PROD,SendMoneyInstaPay-v1
BDOPay2-PROD,BDOPay2-BB-PROD,QrTransactions-v2
BDOPay2-PROD,BDOPay2-BB-PROD,QrRequest-v2
BDOPay2-PROD,BDOPay2-BB-PROD,SendMoneyImmediate-v2
BDOPay2-PROD,BDOPay2-BB-PROD,SendMoneyBDO
BDOPay2-PROD,BDOPay2-BB-PROD,SendMoneyInstapayRequest-v2
BDOPay2-PROD,BDOPay2-BB-PROD,SendMoneyInstapay-v2
BDOPay2-PROD,BDOPay2-BB-PROD,BillsPaymentTransactions-v1
